street name	stripped name
Limestone Dr	Limestone
Lincoln Aly	Lincoln
Lincoln Ave	Lincoln
Linden Ln	Linden
Lindlaw Ave	Lindlaw
Lindy Ln	Lindy
Linwood Ave	Linwood
Lipscomb St	Lipscomb
Lipton Rd	Lipton
Lisson Cres	Lisson Cres
Little John Rd	Little John
Littlepage St	Littlepage
Lochaven Ave	Lochaven
Lochaven Blvd	Lochaven
Lochinvar Dr	Lochinvar
Loch Lomond Ct	Loch Lomond
Loch Lomond Ln	Loch Lomond
Lockgreen Cir	Lockgreen
Lockgreen Ct	Lockgreen
Lockgreen Pl	Lockgreen
Lodge St	Lodge
Logandale Ave	Logandale
Lombardy Aly	Lombardy
